date,Mkt-RF,SMB,HML,RMW,CMA,RF,PS_LEVEL,PS_INNOV,PS_VWF,MKT,ME,I/A,ROE
2005-09-30,0.49,-0.35,1.11,0.4,-0.51,0.29,-2.5615041,-1.8971809999999998,3.2821285999999996,0.78,0.0,-0.02,0.86
2005-10-31,-2.02,-1.3,-0.67,0.11,-1.34,0.27,-6.0997599000000005,-0.2563706,-4.5963880999999995,-2.36,-0.51,-0.32,1.1
2005-11-30,3.61,0.83,-1.85,-0.25,-1.13,0.31,13.429994200000001,10.4198764,0.049047,3.73,1.23,-1.06,0.77
2005-12-31,-0.25,-0.32,0.5,-0.11,0.22,0.32,-3.4081812999999994,-7.6796168,0.1868193,0.03,-0.02,0.87,0.21
2006-01-31,3.04,5.7,1.17,-1.51,-0.41,0.35,-5.8893992,-5.147043,5.294582500000001,3.65,6.44,-0.68,-0.26
2006-02-28,-0.3,-0.42,-0.85,-0.48,2.02,0.34,-5.780034,-3.7800431000000003,-1.1594291,-0.5,-0.39,2.44,-1.01
2006-03-31,1.46,3.44,-0.14,0.04,-0.49,0.37,-0.8477861999999999,3.5538898,0.25463129999999995,1.54,3.12,-1.35,0.77
2006-04-30,0.73,-0.82,3.06,1.28,-0.23,0.36,-6.5815302,1.976888,0.38701,0.94,-0.3,0.34,0.82
2006-05-31,-3.57,-3.01,2.79,0.6,1.32,0.43,4.925081799999999,10.034857,1.6736074,-3.52,-3.51,1.31,-0.1
2006-06-30,-0.35,-0.38,1.49,1.05,-0.06,0.4,-6.904186299999999,6.2756404,1.3358156,-0.44,-0.32,-0.41,1.04
2006-07-31,-0.78,-3.64,3.42,1.72,0.96,0.4,3.4504108,0.22943489999999997,3.8610507000000003,-0.59,-3.17,1.35,0.53
2006-08-31,2.03,0.44,-1.78,-1.82,2.14,0.42,1.0938413999999999,-4.382342599999999,-2.6349426,2.08,0.43,1.94,-1.34
2006-09-30,1.84,-1.35,-0.5,1.63,0.53,0.41,-8.062831,-4.5716496,0.7329656999999999,1.54,-0.97,0.98,0.62
2006-10-31,3.23,1.87,0.52,-0.95,0.23,0.41,3.1508721000000004,5.8170635,4.4498939,3.3,1.96,0.19,-0.29
2006-11-30,1.71,0.77,0.53,-0.16,-0.85,0.42,-1.2983291000000001,3.9061983000000002,1.8756905000000001,1.95,0.39,-1.59,0.49
2006-12-31,0.87,-0.71,2.55,-0.46,2.03,0.4,2.6524973,2.3399425000000003,-1.5307218999999999,0.68,0.0,1.83,-0.57
2007-01-31,1.4,0.05,-0.05,-0.06,0.22,0.44,4.2959105,1.5468175,1.5020569,1.51,-0.1,0.62,0.02
2007-02-28,-1.96,1.38,0.23,-0.76,-0.78,0.38,0.1851172,4.49839,4.2396745,-1.78,1.44,-0.96,-0.74
2007-03-31,0.68,-0.06,0.37,-0.3,-0.62,0.43,-3.5340666,-2.4585893,1.5497365,0.87,-0.18,-1.19,0.44
2007-04-30,3.49,-2.02,-0.99,0.8,1.06,0.44,-1.0775547,0.9603559000000002,0.6502395,3.55,-1.73,0.86,0.55
2007-05-31,3.24,0.24,-0.17,1.3,-1.38,0.41,5.4002757,7.147551099999999,-1.8152523,3.49,-0.25,-2.31,0.52
2007-06-30,-1.96,0.76,-1.03,0.42,0.06,0.4,6.804168099999999,8.558831399999999,3.9507071,-1.87,0.54,0.94,1.19
